Book Id,Title,Sort Character,Primary Author,Primary Author Role,Secondary Author,Secondary Author Roles,Publication,Date,Review,Rating,Comment,Private Comment,Summary,Media,Physical Description,Weight,Height,Thickness,Length,Dimensions,Page Count,LCCN,Acquired,Date Started,Date Read,Barcode,BCID,Tags,Collections,Languages,Original Languages,LC Classification,ISBN,ISBNs,Subjects,Dewey Decimal,Dewey Wording,Other Call Number,Copies,Source,Entry Date,From Where,OCLC,Work id,Lending Patron,Lending Status,Lending Start,Lending End
253428106,My First Book of Counting/Ang Aking Unang Aklat ng Pagbibilang,1,"Suzara-Cheng, Jennifer",Author,,,"Indy Pub (2020), 20 pages",2020,,,"This book on counting belongs in the Children's Nature Book Series (Bi-Lingual English Tagalog) for Global Filipinos. These BILINGUAL and ENVIRONMENTAL picture books series are conceptualized for the millions of descendants of Filipinos living in different parts of the world called GLOBAL FILIPINOS. It is the author's goal to plant a seed in the minds of future generations, and make a connection between the children's place of birth and the land of their ancestors using language as a springboard. At the same time, she also wants to open their young eyes to nature by providing pictures instead of cartoonish depictions of living organisms. By doing so, the author sincerely hopes to help awaken in the hearts of new generations of Global Filipinos, love for the PHILIPPINES and the ENVIRONMENT.[return][return]Purchased at https://www.filam-ecograndma.com/",,My First Book of Counting/Ang Aking Unang Aklat ng Pagbibilang by Jennifer Suzara-Cheng (2020),Paperback,20 p.; 9.02 inches,0.110231131 pounds,9.02 inches,0.05 inches,5.98 inches,9.02 x 5.98 x 0.05 inches,20,,,,,11,,,Your library,"Tagalog, English",,,[9781087908274],"9781087908274, 1087908272",,,,,1,amazon.com books,[2023-11-28],,,31309350,(No name),,,
253428110,My First Book of Plants: Ang Aking Unang Aklat ng Halaman (2),1,"Suzara-Cheng, Jennifer",Author,,,"www.filam-ecograndma.com (2020), Edition: Bilingual English-Tagalog ed., 20 pages",2020,,,This is a book for children of Global Filipinos who would like to introduce them to Tagalog Language using living organisms as a springboard. It is the author's goal to plant a seed in the young minds of the future generation the love for environment and the Philippines.[return][return]Purchased at https://www.filam-ecograndma.com/,,My First Book of Plants: Ang Aking Unang Aklat ng Halaman (2) by Jennifer Suzara-Cheng (2020),Paperback,20 p.; 9 inches,0.110231131 pounds,9 inches,0.05 inches,6 inches,9 x 6 x 0.05 inches,20,,,,,12,,,Your library,"Tagalog, English",,,[9781735611006],"9781735611006, 173561100X",,,,,1,amazon.com books,[2023-11-28],,,31309352,(No name),,,
253428116,Eat Your Garden (English-Filipino Edition),1,"Santos, Lorie",Author,,,"Www.Filam-Ecograndma.com (2022), 20 pages",2022,,,A child is afraid of the creepy crawlies in their garden. His mother convinces him that each creature has a role in that garden that is a miniature world of its own.[return][return]Purchased at https://www.filam-ecograndma.com/,,Eat Your Garden (English-Filipino Edition) by Lorie Santos (2022),Paperback,20 p.; 8.5 inches,0.14991433816 pounds,8.5 inches,0.05 inches,8.5 inches,8.5 x 8.5 x 0.05 inches,20,,,,,13,,,Your library,"Tagalog, English",,,[9781737280903],"9781737280903, 1737280906",,,,,1,amazon.com books,[2023-11-28],,,31309355,(No name),Available @ Jamba (Old Pasadena),4/21/2024,
253428121,Kumusta Baby!: Baby's First Tagalog Words (Filipino Children's Books),1,"Leslie-Quinones, Melissa J",Author,,,"Independently published (2019), 43 pages",2019,,,"Artist Melissa Leslie-Quinones created 'Kumusta Baby!' as a book for her girls and all the beautiful babies around the globe who love the Filipino culture and language. As a first generation Filipino American, it is her honor to be able to pass on the beautiful language of Tagalog to the next generation. The hand drawn imagery of baby's first words are frequently used around the home as well as images that babies are drawn to such as animals that make familiar sounds that peak baby's interest.Be sure to find 'Kumusta Baby!' activity book that includes more Tagalog words!",,Kumusta Baby!: Baby's First Tagalog Words (Filipino Children's Books) by Melissa J Leslie-Quinones (2019),Paperback,43 p.; 8.25 inches,,8.25 inches,0.11 inches,8.25 inches,8.25 x 8.25 x 0.11 inches,43,,,,,14,,,Your library,"Tagalog, English",,,[9781070727233],"9781070727233, 1070727237",,,,,1,amazon.com books,[2023-11-28],,,31309357,"F., Aileen",Checked out,4/26/2024,5/25/2024
253428125,Nurse Mommies are the Best!,1,"Cheng, Annie",Author,"Basbas, Fer",Illustrator,UbeBooks.com,2021,,,Why are nurse mommies the best? A child explains why in this book that is filled with colorful images of Filipino life and culture. Have fun reading this with your kids!,,Nurse Mommies are the Best! by Annie Cheng (2021),Paperback,22 p.; 10 inches,,10 inches,,,10 inches,22,,,,,15,,"picturebook, nurses, nanay, mother, Tagalog, English, bilingual",Your library,"Tagalog, English",Multiple languages,,[9798985106732],9798985106732,,,,,2,amazon.com books,[2023-11-28],,,31309358,(No name),,,
253428136,Nurse Ube Sings Karaoke,1,"Cheng, Annie",Author,,,"Ube Books LLC (2022), 34 pages",2022,,,"Join Nurse Ube and friends enjoy a favorite Filipino activity at Magic Karaoke. This book is part of the Nurse Ube series that celebrates the Filipino Nursing community and showcases Filipino food, culture, and values, with some humor intertwined. Nurse Ube reminds us of the fun-loving spirit and sense of camaraderie of the Filipino people.",,Nurse Ube Sings Karaoke by Annie Cheng (2022),Paperback,34 p.; 11 inches,0.29101018584 pounds,11 inches,0.09 inches,8.5 inches,11 x 8.5 x 0.09 inches,34,,,,,16,,,Your library,"Tagalog, English",,,[9798985106749],9798985106749,,,,,1,amazon.com books,[2023-11-28],,,31309361,(No name),,,
253428145,Ocean Adventure (English-Tagalog Edition),1,"Suzara-Cheng, Jennifer",Author,,,"Www.Filam-Ecograndma.com (2022), Edition: Tagalog, Filipino ed., 28 pages",2022,,,"Maddie and her family embark on a fresh adventure of discovery and fun in this new book from filam-ecograndma.com. Ocean Adventure features marine life and the many dangers they face due to the massive pollution of our oceans, particularly as a result of improper disposal of trash and plastic products. This is the English-Tagalog Edition.[return][return]Purchased at https://www.filam-ecograndma.com/",,Ocean Adventure (English-Tagalog Edition) by Jennifer Suzara-Cheng (2022),Paperback,28 p.; 8.5 inches,0.18959754532 pounds,8.5 inches,0.08 inches,8.5 inches,8.5 x 8.5 x 0.08 inches,28,,,,,17,,,Your library,"Tagalog, English",,,[9781737280989],"9781737280989, 1737280981",,,,,1,amazon.com books,[2023-11-28],,,31309364,(No name),Available @ Jamba (Old Pasadena),4/21/2024,
253428148,Tide Pool Adventure (English-Tagalog Edition),1,"Suzara-Cheng, Jennifer",Author,,,"Www.Filam-Ecograndma.com (2021), 24 pages",2021,,,"Maddie and her brothers Zach and Josh love going to the beach with their mom and dad. In this story, they discover fun and interesting facts about tidepools and the creatures that live in them. Tide Pool Adventure features detailed, artistic renderings of the vibrant marine life that exists in small pools that are created when the tides recede. Tide pools form shelters for various marine life and serve as nurseries for various species of sea animals. Read Tide Pool Adventure with your kids to learn with Maddie and her family how to help preserve and protect this vital feature of our natural environment.[return][return]Purchased at https://www.filam-ecograndma.com/",,Tide Pool Adventure (English-Tagalog Edition) by Jennifer Suzara-Cheng (2021),Paperback,24 p.; 8.5 inches,0.1763698096 pounds,8.5 inches,0.07 inches,8.5 inches,8.5 x 8.5 x 0.07 inches,24,,,,,18,,,Your library,"Tagalog, English",,,[9781737280941],"9781737280941, 1737280949",,,,,1,amazon.com books,[2023-11-28],,,31309366,(No name),Available @ Jamba (Old Pasadena),4/21/2024,
253428154,Rom-rom and Lola,1,"Similar, Rowena",Author,,,"Independently published (2020), 38 pages",2020,,,"Rom-rom stays with Lola (Grandmother) while his parents go to work. At his Lola’s house, Rom-rom learns household items, songs and honoring-gestures in Filipino. He also gets exposure to the most important part of the culture… delicious Filipino food! This is a great addition to any classroom wishing to promote multiculturalism. It is also perfect for parents wanting to teach their children unique Filipino traditions and terminology. Rom-rom and Lola will allow children to learn while having lots of fun!",,Rom-rom and Lola by Rowena Similar (2020),Paperback,38 p.; 10 inches,0.29 pounds,10 inches,0.09 inches,8 inches,10 x 8 x 0.09 inches,38,,,,,19,,,Your library,"English, Tagalog",,,[9798652735968],9798652735968,,,,,1,amazon.com books,[2023-11-28],,,31309368,(No name),Available @ Jamba (Old Pasadena),4/21/2024,
253428159,But That Won't Make Me Sleep,1,"Pacaña-Lumbao, Annie",Author,,,"Adarna House, Inc.",2013,,,"Maya is having a hard time going to sleep. Nanay has tried almost everything, but Maya still lies awake with her eyes wide open. What is keeping Maya from falling asleep?[return][return]Nahihirapan si Maya na makatulog. Nasubok na ni Nanay halos lahat, pero dilat na dilat pa ring nakahiga si Maya. Ano kaya ang pumipigil sa antok ni Maya?",,But That Won't Make Me Sleep by Annie Pacaña-Lumbao (2013),Paperback,,,,,,,,,,,,20,,,Your library,"Tagalog, English",,,[9715084508],"9715084508, 9789715084505",,899.21134,"Literature > Literature of other languages > Malay and Austronesian languages > Other Literature: Pacific Islands, Basque, Artificial Languages, Georgia, Mesopotamia   > Philippine languages > Tagalog (Filipino) > Tagalog fiction",,1,amazon.com books,[2023-11-28],,,20928773,(No name),,,
253428160,Super Maya,1,"Rodriguez, Bambi A",Author,,,"Independently published (2022), 33 pages",2022,,,"4-year old Maya is a child who is hard of hearing (HOH). She is new in town and certainly new in school. She is excited about going to class, trying the different art materials, experiencing new toys and trying out the school’s playground! Maya is also excited about meeting new friends, but is not sure how to do this or how they will react to her being hard of hearing. Join Maya as she learns how to navigate her new school environment and learn how to make new friends in the process.",,Super Maya by Bambi A Rodriguez (2022),Paperback,33 p.; 8.5 inches,,8.5 inches,0.08 inches,8.5 inches,8.5 x 8.5 x 0.08 inches,33,,,,,21,,,Your library,"Tagalog, English",,,[9798365874558],9798365874558,,,,,1,amazon.com books,[2023-11-28],,,31309371,"F, Jenn",Checked out,3/24/2024,4/7/2024
253428162,Elias and the Bikol River,1,"Santos, Lorie",Author,,,"Www.Filam-Ecograndma.com (2020), Edition: 2nd ed., 32 pages",2020,,,"Elias and the Bikol River is the story of a young kid who longs to fish for his cat and swim in the river. When he goes to the Bikol River, he catches a can of sardines instead of real fish. Elias learns that he, along with his friends and other people, can help make the river clean again.[return][return]Elias and the Bikol River was first published by the Ina nin Bikol Foundation, Inc. in 2017 under the title ""Si Elias asin ang Salog Naga"". The story won the 'Sa Ugoy ng Inang Wika Contest' of the De la Salle University's Bienvenido N. Santos Creative Writing Center in 2017.[return][return]A portion of the sales from this book, and others in the series, will be donated to Sumaro sa Salog Inc. (SULOG), the lead proponent of Irukan which will house the Emelina G. Regis Sanctuary of Native Trees in Naga City, Philippines.[return][return]Purchased at https://www.filam-ecograndma.com/",,Elias and the Bikol River by Lorie Santos (2020),Paperback,32 p.; 9 inches,0.16093745126 pounds,9 inches,0.09 inches,6 inches,9 x 6 x 0.09 inches,32,,,,,22,,,Your library,"Tagalog, Bikol",English,,[9781735611013],"9781735611013, 1735611018",,,,,1,amazon.com books,[2023-11-28],,,31309372,(No name),,,
253428303,Common Courtesies in the Bathroom,1,"Rodrigo, Didith",,,,,,,,"Use the right amount of tissue. ""Flush."" ""Zip up."" Jason and Joanne practice some good manners when using public bathrooms. [return][return]Common Courtesies shares some dos and don'ts that help make life a little kinder, gentler, and more gracious.",,Common Courtesies in the Bathroom by Didith Rodrigo,Paperback,,,,,,,,,,,,23,,,Your library,"Tagalog, English",,,[9789715699716],"9789715699716, 9715699715",,,,,1,manual entry,[2023-11-28],,,31309379,(No name),,,
253428328,Nurse Ube Rides a Pedicab,1,"Cheng, Annie",,,,,,,,"Join Nurse Ube and her friends on their adventure at Narra Park. This book is part of the Nurse Ube series that celebrates the Filipino Nursing community and showcases Filipino food, culture, and values, with some humor intertwined. Nurse Ube reminds us about kindness and helping others which are important values of the Filipino people.",,Nurse Ube Rides a Pedicab by Annie Cheng,Paperback,,,,,,,,,,,,24,,,Your library,"Tagalog, English",,,[9798985106725],9798985106725,,,,,1,manual entry,[2023-11-28],,,31309381,(No name),Available @ Jamba (Old Pasadena),4/21/2024,
253428367,Baybayin Para sa Iyo-Isang Pilipino,1,"Resurreccion, Anji",,,,,,,,"Alam mo bang mayroong sariling sulat ang mga Pilipino noon? Sa aklat na ito, tuturuan tayo kung paano magsulat at magbasa mga sinaunang Pilipino at kung paano ito puwedeng magamit sa kasalukuyang panahon! Bilang Pilipino, karapatan nating malaman kung paano ito gamitin. Kaya samahan ninyo kami para aralin ang ating sariling sulat!",,Baybayin Para sa Iyo-Isang Pilipino by Anji Resurreccion,Paperback,,,,,,,,,,,,25,,,Your library,Tagalog,,,[9789715699921],"9789715699921, 9715699928",,,,,1,manual entry,[2023-11-28],,,31309383,(No name),,,
253428379,Tagu-Taguan: A Counting Book in Filipino,1,"Tejido, Jomike",,,,,2017,,,Can you count all of the insects hiding in your garden?,,"In Tahanan’s first bilingual counting book, discover the strange, wonderful creatures that might be hiding in our own backyards. The charming verse & vivid illustrations will encourage young readers to count from 1 to 10 and back again.",Board book,20 p.; 21 x 18 cm,,18 cm,,21 cm,18 x 21 cm,20,,,,,26,,,Your library,"Tagalog, English",Tagalog,,[9786214220038],"9786214220038, 6214220031",,397.1,"Customs, Etiquette, Folklore > Nomadic peoples (No longer used) > Social sciences",,1,manual entry,[2023-11-28],,,14368133,"V, Darren",Checked out,3/10/2024,3/24/2024
253428391,Common Courtesies on the Street,1,"Rodrigo, Didith",,,,,,,,"Look both ways. ""Walk on the sidewalk."" ""Fall in line."" Eric and Elisa commute with their parents, minding their manners and staying safe.[return][return]Common Courtesies shares some dos and don'ts that help make life a little kinder, gentler, and more gracious.",,Common Courtesies on the Street by Didith Rodrigo,Paperback,,,,,,,,,,,,27,,,Your library,"Tagalog, English",Tagalog,,[9789715699716],"9789715699716, 9715699715",,,,,1,manual entry,[2023-11-28],,,31309385,(No name),,,
253428401,Common Courtesies at the Table,1,"Rodrigo, Didith",,,,,,,,"Wash your hands. ""Sit Properly."" ""Don't talk with your mouth full."" When Nico and Nica sit down for lunch, their mother reminds them to mind their manners at the table.[return][return]Common Courtesies shares some dos and don'ts that help make life a little kinder, gentler, and more gracious.",,Common Courtesies at the Table by Didith Rodrigo,Paperback,,,,,,,,,,,,28,,,Your library,"Tagalog, English",Tagalog,,[9789715699693],"9789715699693, 9715699693",,,,,1,manual entry,[2023-11-28],,,31309387,"BV, Dennis",Checked out,4/6/2024,5/4/2024
253712995,Nawawala si Muningning,1,"Coroza, Michael M.",Author,"Peñaflorida, Tokwa",Illustrator,"Adarna House, Inc.",2015,,,"I love Muningning a lot. Once, I lost sight of him and varied visions bothered me. It's probably true that we need to lose and seek to see what is really important.[return][return]Mahal na mahal ko Muningning. Nang minsang nawala siya sa aking paningin, sari-saring larawan ang gumambala sa akin. Talaga yatang kailangang may mawala at hanapin upang makita ang tunay na mahalaga sa atin.",,Nawawala si Muningning by Michael M. Coroza (2015),Paperback,,,,,,,,,,,,29,,,Your library,Tagalog,Tagalog,,[9715085806],"9715085806, 9789715085809",,,,,1,amazon.com books,[2023-12-04],,,22230855,(No name),,,
253713020,My Family,1,"Garcia, Kata",Author,,,Adarna House (2018),2018,,,"This is my family.[return][return]Split-page and bilingual, this board book was designed to illustrate the many forms a family can take.[return][return]Ito ang pamilya ko.",,My Family by Kata Garcia (2018),Board book,6.5 inches,0.44 pounds,6.5 inches,,6.5 inches,6.5 x 6.5 inches,,,[2023-12-03],,,30,,"board book, Tagalog, family, split-page, bilingual",Your library,"Tagalog, English",,,[9789715087155],"9789715087155, 9715087159",,,,,1,amazon.com books,[2023-12-04],,,27229766,(No name),,,
